meter,district,buildYear,rooms,price,elevator,space,parking,floor,averageDistrictValue,test
50,qalamestan,1388,1,2450000000,0,0,1,0,60653538.74812411,3032676937.406205
59,qalamestan,1394,1,2600000000,1,1,0,3,60653538.74812411,3578558786.1393223
50,qalamestan,1388,2,3500000000,0,1,1,3,60653538.74812411,3032676937.406205
91,qalamestan,1392,2,6800000000,1,1,1,1,60653538.74812411,5519472026.079294
62,qalamestan,1384,2,3480000000,0,0,0,3,60653538.74812411,3760519402.3836946
74,qalamestan,1380,2,5400000000,0,1,1,1,60653538.74812411,4488361867.361184
68,qalamestan,1392,2,3500000000,0,1,1,2,60653538.74812411,4124440634.8724394
54,qalamestan,1393,1,2300000000,1,1,1,4,60653538.74812411,3275291092.3987017
88,qalamestan,1398,2,6000000000,1,0,1,1,60653538.74812411,5337511409.834922
45,qalamestan,1383,1,2300000000,0,0,1,4,60653538.74812411,2729409243.665585
39,qalamestan,1385,1,2150000000,0,0,1,1,60653538.74812411,2365488011.1768403
69,qalamestan,1396,1,4600000000,1,1,1,1,60653538.74812411,4185094173.6205635
70,qalamestan,1389,2,3750000000,0,1,0,2,60653538.74812411,4245747712.3686876
84,qalamestan,1385,2,5700000000,0,1,1,2,60653538.74812411,5094897254.842425
43,qalamestan,1383,1,2900000000,1,1,1,1,60653538.74812411,2608102166.169337
65,qalamestan,1390,2,4220000000,0,0,1,4,60653538.74812411,3942480018.628067
68,qalamestan,1392,1,3750000000,0,0,1,3,60653538.74812411,4124440634.8724394
92,qalamestan,1403,2,5796000000,1,1,1,4,60653538.74812411,5580125564.827418
40,qalamestan,1390,1,2200000000,0,0,1,1,60653538.74812411,2426141549.9249644
69,qalamestan,1385,2,4350000000,0,0,1,1,60653538.74812411,4185094173.6205635
45,chitgar-lake,1403,1,607500000,1,1,1,13,77437903.7031744,3484705666.642848
60,chitgar-lake,1403,1,900000000,1,1,1,11,77437903.7031744,4646274222.190464
70,chitgar-lake,1403,2,945000000,1,1,1,9,77437903.7031744,5420653259.222208
90,chitgar-lake,1403,2,4000000000,1,1,1,8,77437903.7031744,6969411333.285696
120,chitgar-lake,1403,3,1800000000,1,1,1,10,77437903.7031744,9292548444.380928
170,chitgar-lake,1396,3,12000000000,1,1,1,1,77437903.7031744,13164443629.539648
85,chitgar-lake,1403,2,1250000000,1,1,1,10,77437903.7031744,6582221814.769824
50,chitgar-lake,1403,1,1200000000,1,1,1,10,77437903.7031744,3871895185.15872
80,chitgar-lake,1403,2,3040000000,1,1,1,6,77437903.7031744,6195032296.253952
100,chitgar-lake,1403,2,1500000000,1,1,1,15,77437903.7031744,7743790370.31744
160,chitgar-lake,1400,3,10500000000,1,1,1,20,77437903.7031744,12390064592.507904
135,chitgar-lake,1392,3,15200000000,1,1,1,13,77437903.7031744,10454116999.928543
164,chitgar-lake,1403,3,12500000000,1,1,1,5,77437903.7031744,12699816207.3206
50,tehransar,1396,1,1345000000,1,1,1,1,72867660.83627367,3643383041.8136835
105,tehransar,1403,2,8400000000,1,1,1,5,72867660.83627367,7651104387.808735
82,tehransar,1398,2,6150000000,1,1,1,1,72867660.83627367,5975148188.574441
89,tehransar,1396,2,7120000000,1,1,1,5,72867660.83627367,6485221814.428356
91,tehransar,1403,2,7280000000,1,1,1,4,72867660.83627367,6630957136.100904
62,tehransar,1403,2,4000000000,1,1,1,4,72867660.83627367,4517794971.848968
56,tehransar,1380,2,3200000000,0,0,1,2,72867660.83627367,4080589006.8313255
90,tehransar,1402,2,4750000000,0,1,1,2,72867660.83627367,6558089475.26463
78,tehransar,1397,2,3500000000,1,1,1,4,72867660.83627367,5683677545.229346
90,tehransar,1403,2,7200000000,1,1,1,10,72867660.83627367,6558089475.26463
75,tehransar,1403,2,5175000000,1,1,1,6,72867660.83627367,5465074562.720526
105,tehransar,1395,2,7800000000,1,1,1,1,72867660.83627367,7651104387.808735
83,tehransar,1403,2,5727000000,1,1,1,4,72867660.83627367,6048015849.410715
81,tehransar,1403,2,89000000,1,1,0,3,72867660.83627367,5902280527.738167
69,tehransar,1385,2,3947000000,0,1,1,3,72867660.83627367,5027868597.702883
77,tehransar,1396,2,6000000000,1,1,1,4,72867660.83627367,5610809884.393072
71,tehransar,1385,2,3850000000,0,1,1,3,72867660.83627367,5173603919.375431
74,tehransar,1396,2,5650000000,1,1,1,4,72867660.83627367,5392206901.884252
57,tehransar,1399,1,2800000000,1,1,1,2,72867660.83627367,4153456667.667599
78,tehransar,1400,2,6630000000,1,1,1,1,72867660.83627367,5683677545.229346
58,tehransar,1380,1,4300000000,0,1,1,1,72867660.83627367,4226324328.503873
100,gisha,1386,2,11950000000,1,1,1,2,156209263.12265432,15620926312.265432
175,gisha,1392,3,30100000000,1,1,1,2,156209263.12265432,27336621046.464504
104,gisha,1395,2,14900000000,1,1,1,3,156209263.12265432,16245763364.75605
87,gisha,1384,2,9000000000,1,1,1,1,156209263.12265432,13590205891.670925
175,gisha,1370,3,26000000000,0,1,1,2,156209263.12265432,27336621046.464504
89,gisha,1385,2,12500000000,1,1,1,4,156209263.12265432,13902624417.916235
95,gisha,1389,2,14500000000,1,1,1,4,156209263.12265432,14839879996.65216
125,gisha,1390,3,15000000000,1,1,1,1,156209263.12265432,19526157890.33179
