meter,district,buildYear,rooms,price,elevator,space,parking,floor,averageDistrictValue,test
50,qalamestan,1388,1,2450000000,0,0,1,0,59424367.48707936,2971218374.353968
59,qalamestan,1394,1,2600000000,1,1,0,3,59424367.48707936,3506037681.7376823
50,qalamestan,1388,2,3500000000,0,1,1,3,59424367.48707936,2971218374.353968
91,qalamestan,1392,2,6800000000,1,1,1,1,59424367.48707936,5407617441.324222
62,qalamestan,1384,2,3480000000,0,0,0,3,59424367.48707936,3684310784.1989202
74,qalamestan,1380,2,5400000000,0,1,1,1,59424367.48707936,4397403194.043873
68,qalamestan,1392,2,3500000000,0,1,1,2,59424367.48707936,4040856989.1213965
54,qalamestan,1393,1,2300000000,1,1,1,4,59424367.48707936,3208915844.302285
88,qalamestan,1398,2,6000000000,1,0,1,1,59424367.48707936,5229344338.862984
45,qalamestan,1383,1,2300000000,0,0,1,4,59424367.48707936,2674096536.918571
39,qalamestan,1385,1,2150000000,0,0,1,1,59424367.48707936,2317550331.996095
69,qalamestan,1396,1,4600000000,1,1,1,1,59424367.48707936,4100281356.6084757
70,qalamestan,1389,2,3750000000,0,1,0,2,59424367.48707936,4159705724.0955553
84,qalamestan,1385,2,5700000000,0,1,1,2,59424367.48707936,4991646868.914666
43,qalamestan,1383,1,2900000000,1,1,1,1,59424367.48707936,2555247801.944412
65,qalamestan,1390,2,4220000000,0,0,1,4,59424367.48707936,3862583886.660158
68,qalamestan,1392,1,3750000000,0,0,1,3,59424367.48707936,4040856989.1213965
92,qalamestan,1403,2,5796000000,1,1,1,4,59424367.48707936,5467041808.811301
40,qalamestan,1390,1,2200000000,0,0,1,1,59424367.48707936,2376974699.4831743
69,qalamestan,1385,2,4350000000,0,0,1,1,59424367.48707936,4100281356.6084757
45,chitgar-lake,1403,1,607500000,1,1,1,13,31868399.605448056,1434077982.2451625
60,chitgar-lake,1403,1,900000000,1,1,1,11,31868399.605448056,1912103976.3268833
70,chitgar-lake,1403,2,945000000,1,1,1,9,31868399.605448056,2230787972.381364
90,chitgar-lake,1403,2,4000000000,1,1,1,8,31868399.605448056,2868155964.490325
120,chitgar-lake,1403,3,1800000000,1,1,1,10,31868399.605448056,3824207952.6537666
170,chitgar-lake,1396,3,12000000000,1,1,1,1,31868399.605448056,5417627932.926169
85,chitgar-lake,1403,2,1250000000,1,1,1,10,31868399.605448056,2708813966.4630847
50,chitgar-lake,1403,1,1200000000,1,1,1,10,31868399.605448056,1593419980.2724028
80,chitgar-lake,1403,2,3040000000,1,1,1,6,31868399.605448056,2549471968.4358444
100,chitgar-lake,1403,2,1500000000,1,1,1,15,31868399.605448056,3186839960.5448055
160,chitgar-lake,1400,3,10500000000,1,1,1,20,31868399.605448056,5098943936.871689
135,chitgar-lake,1392,3,15200000000,1,1,1,13,31868399.605448056,4302233946.735488
164,chitgar-lake,1403,3,12500000000,1,1,1,5,31868399.605448056,5226417535.293481
50,tehransar,1396,1,1345000000,1,1,1,1,64041701.37763675,3202085068.881838
105,tehransar,1403,2,8400000000,1,1,1,5,64041701.37763675,6724378644.651859
82,tehransar,1398,2,6150000000,1,1,1,1,64041701.37763675,5251419512.966214
89,tehransar,1396,2,7120000000,1,1,1,5,64041701.37763675,5699711422.609671
91,tehransar,1403,2,7280000000,1,1,1,4,64041701.37763675,5827794825.364944
62,tehransar,1403,2,4000000000,1,1,1,4,64041701.37763675,3970585485.413479
56,tehransar,1380,2,3200000000,0,0,1,2,64041701.37763675,3586335277.1476583
90,tehransar,1402,2,4750000000,0,1,1,2,64041701.37763675,5763753123.987308
78,tehransar,1397,2,3500000000,1,1,1,4,64041701.37763675,4995252707.455667
90,tehransar,1403,2,7200000000,1,1,1,10,64041701.37763675,5763753123.987308
75,tehransar,1403,2,5175000000,1,1,1,6,64041701.37763675,4803127603.322757
105,tehransar,1395,2,7800000000,1,1,1,1,64041701.37763675,6724378644.651859
83,tehransar,1403,2,5727000000,1,1,1,4,64041701.37763675,5315461214.34385
81,tehransar,1403,2,89000000,1,1,0,3,64041701.37763675,5187377811.588577
69,tehransar,1385,2,3947000000,0,1,1,3,64041701.37763675,4418877395.056936
77,tehransar,1396,2,6000000000,1,1,1,4,64041701.37763675,4931211006.07803
71,tehransar,1385,2,3850000000,0,1,1,3,64041701.37763675,4546960797.812209
74,tehransar,1396,2,5650000000,1,1,1,4,64041701.37763675,4739085901.94512
57,tehransar,1399,1,2800000000,1,1,1,2,64041701.37763675,3650376978.525295
78,tehransar,1400,2,6630000000,1,1,1,1,64041701.37763675,4995252707.455667
58,tehransar,1380,1,4300000000,0,1,1,1,64041701.37763675,3714418679.9029317
100,gisha,1386,2,11950000000,1,1,1,2,152894816.1349136,15289481613.49136
175,gisha,1392,3,30100000000,1,1,1,2,152894816.1349136,26756592823.60988
104,gisha,1395,2,14900000000,1,1,1,3,152894816.1349136,15901060878.031013
87,gisha,1384,2,9000000000,1,1,1,1,152894816.1349136,13301849003.737482
175,gisha,1370,3,26000000000,0,1,1,2,152894816.1349136,26756592823.60988
89,gisha,1385,2,12500000000,1,1,1,4,152894816.1349136,13607638636.007309
95,gisha,1389,2,14500000000,1,1,1,4,152894816.1349136,14525007532.816792
125,gisha,1390,3,15000000000,1,1,1,1,152894816.1349136,19111852016.8642
97,gisha,1397,2,14500000000,1,1,1,2,152894816.1349136,14830797165.086618
96,gisha,1385,2,11900000000,1,1,1,3,152894816.1349136,14677902348.951706
167,gisha,1401,3,29000000000,1,1,1,3,152894816.1349136,25533434294.53057
130,gisha,1386,3,16000000000,1,1,1,2,152894816.1349136,19876326097.53877
121,gisha,1402,3,19300000000,1,1,1,5,152894816.1349136,18500272752.324543
