meter,district,buildYear,rooms,price,elevator,space,parking,floor
۲۷۵,qalamestan,۱۳۷۲,۲,۱۱۱٬۲۲۲٬۳۳۳٬۴۴۴ تومان,false,true,true,۳ از ۳
۱۲۳,chitgar-lake,۱۴۰۲,۳,۶٬۴۸۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۴ از ۸
۵۴,tehransar,۱۴۰۳,۱,۵٬۹۴۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۳
۱۱۸,azad-shahr,۱۴۰۳,۲,۷٬۶۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۹
۸۰,sattarkhan,۱۳۸۲,۲,۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,false,false,true,همکف
۶۷,gisha,۱۳۸۵,۱,۱۰٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۵
۷۰,khani-abad-no,۱۳۸۵,۲,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,false,false,false,۲ از ۴
۶۵,south-janat-abad,۱۳۹۴,۲,۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۴ از ۵
۱۲۵,gisha,۱۴۰۰,۲,۲۴٬۳۷۵٬۰۰۰٬۰۰۰ تومان,true,true,true,۵ از ۵
۱۲۳,chitgar-lake,۱۴۰۲,۳,۶٬۴۸۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۴ از ۸
۶۲,jamalzadeh,۱۳۹۸,۲,۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۳ از ۴
۶۷,gisha,۱۳۸۵,۱,۱۰٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۵
۶۷,gisha,۱۳۸۵,۱,۱۰٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۵
۷۵,bagh-feyz,۱۳۹۶,۲,۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۶ از ۷
۱۲۵,firoozabadi,۱۴۰۳,۲,۸٬۸۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۱
۷۵,bagh-feyz,۱۳۹۶,۲,۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۶ از ۷
۴۷,pirouzi,۱۳۷۳,۱,۲٬۰۵۰٬۰۰۰٬۰۰۰ تومان,false,false,false,۱
۱۱۳,azad-shahr,۱۴۰۲,۲,۷٬۳۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۱۵ از ۲۵
۶۵,south-janat-abad,۱۳۹۴,۲,۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۴ از ۵
۵۴,tehransar,۱۴۰۳,۱,۵٬۹۴۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۳
۱۱۸,azad-shahr,۱۴۰۳,۲,۷٬۶۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۹
۴۷,pirouzi,۱۳۷۳,۱,۲٬۰۵۰٬۰۰۰٬۰۰۰ تومان,false,false,false,۱
۱۱۳,shams-abad,۱۴۰۳,۲,۱۸٬۱۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۵ از ۵
۸۰,poonak,۱۳۸۸,۲,۷٬۹۰۰٬۰۰۰٬۰۰۰ تومان,true,false,true,۱ از ۵
۶۱,fallah,۱۳۹۰,۱,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,false,true,۴ از ۴
۱۱۳,azad-shahr,۱۴۰۲,۲,۷٬۳۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۱۵ از ۲۵
۷۵,bagh-feyz,۱۳۹۶,۲,۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۶ از ۷
۶۵,south-janat-abad,۱۳۹۴,۲,۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۴ از ۵
۶۱,fallah,۱۳۹۰,۱,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,false,true,۴ از ۴
۱۲۵,firoozabadi,۱۴۰۳,۲,۸٬۸۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۱
۷۵,bagh-feyz,۱۳۹۶,۲,۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۶ از ۷
۸۹,west-tehranpars,۱۳۸۳,۲,۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,false,false,true,۳ از ۴
۶۱,fallah,۱۳۹۰,۱,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,false,true,۴ از ۴
۶۲,jamalzadeh,۱۳۹۸,۲,۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۳ از ۴
۱۱۳,shams-abad,۱۴۰۳,۲,۱۸٬۱۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۵ از ۵
۱۵۵,qeytariyeh,۱۳۹۳,۳,۲۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۳ از ۵
۲۷۵,qalamestan,۱۳۷۲,۲,۱۱۱٬۲۲۲٬۳۳۳٬۴۴۴ تومان,false,true,true,۳ از ۳
۸۰,sattarkhan,۱۳۸۲,۲,۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,false,false,true,همکف
۹۰,north-sohrevardi,۱۳۹۷,۲,۱۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۲ از ۵
۶۲,jamalzadeh,۱۳۹۸,۲,۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۳ از ۴
۸۰,sattarkhan,۱۳۸۲,۲,۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,false,false,true,همکف
۶۲,jamalzadeh,۱۳۹۸,۲,۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۳ از ۴
۱۲۵,gisha,۱۴۰۰,۲,۲۴٬۳۷۵٬۰۰۰٬۰۰۰ تومان,true,true,true,۵ از ۵
۷۵,bagh-feyz,۱۳۹۶,۲,۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۶ از ۷
۹۰,north-sohrevardi,۱۳۹۷,۲,۱۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۲ از ۵
۷۰,khani-abad-no,۱۳۸۵,۲,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,false,false,false,۲ از ۴
۸۰,poonak,۱۳۸۸,۲,۷٬۹۰۰٬۰۰۰٬۰۰۰ تومان,true,false,true,۱ از ۵
۸۹,west-tehranpars,۱۳۸۳,۲,۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,false,false,true,۳ از ۴
۶۲,jamalzadeh,۱۳۹۸,۲,۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۳ از ۴
۴۷,pirouzi,۱۳۷۳,۱,۲٬۰۵۰٬۰۰۰٬۰۰۰ تومان,false,false,false,۱
۸۰,sattarkhan,۱۳۸۲,۲,۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,false,false,true,همکف
۴۷,pirouzi,۱۳۷۳,۱,۲٬۰۵۰٬۰۰۰٬۰۰۰ تومان,false,false,false,۱
۷۰,khani-abad-no,۱۳۸۵,۲,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,false,false,false,۲ از ۴
۷۰,khani-abad-no,۱۳۸۵,۲,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,false,false,false,۲ از ۴
۱۲۵,firoozabadi,۱۴۰۳,۲,۸٬۸۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۱
۱۲۳,chitgar-lake,۱۴۰۲,۳,۶٬۴۸۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۴ از ۸
۶۷,gisha,۱۳۸۵,۱,۱۰٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۵
۱۲۵,vanak,۱۳۸۷,۳,۱۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۴
۱۲۳,chitgar-lake,۱۴۰۲,۳,۶٬۴۸۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۴ از ۸
۹۲,south-janat-abad,۱۴۰۲,۲,۱۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۵ از ۵
۹۲,south-janat-abad,۱۴۰۲,۲,۱۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۵ از ۵
۱۱۳,azad-shahr,۱۴۰۲,۲,۷٬۳۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۱۵ از ۲۵
۸۹,west-tehranpars,۱۳۸۳,۲,۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,false,false,true,۳ از ۴
۴۷,pirouzi,۱۳۷۳,۱,۲٬۰۵۰٬۰۰۰٬۰۰۰ تومان,false,false,false,۱
۱۱۳,shams-abad,۱۴۰۳,۲,۱۸٬۱۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۵ از ۵
۴۸,sarsabil,۱۳۷۹,۱,۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,false,false,false,۲ از ۳
۵۴,tehransar,۱۴۰۳,۱,۵٬۹۴۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۳
۱۵۵,qeytariyeh,۱۳۹۳,۳,۲۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۳ از ۵
۱۱۰,gisha,۱۴۰۳,۲,۲۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۴
۶۲,jamalzadeh,۱۳۹۸,۲,۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۳ از ۴
۷۵,bagh-feyz,۱۳۹۶,۲,۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۶ از ۷
۷۰,khani-abad-no,۱۳۸۵,۲,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,false,false,false,۲ از ۴
۱۱۸,azad-shahr,۱۴۰۳,۲,۷٬۶۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۹
۲۷۵,qalamestan,۱۳۷۲,۲,۱۱۱٬۲۲۲٬۳۳۳٬۴۴۴ تومان,false,true,true,۳ از ۳
۸۹,west-tehranpars,۱۳۸۳,۲,۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,false,false,true,۳ از ۴
۱۱۸,azad-shahr,۱۴۰۳,۲,۷٬۶۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۹
۱۱۰,gisha,۱۴۰۳,۲,۲۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۴
۸۰,sattarkhan,۱۳۸۲,۲,۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,false,false,true,همکف
۹۰,north-sohrevardi,۱۳۹۷,۲,۱۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۲ از ۵
۱۲۵,gisha,۱۴۰۰,۲,۲۴٬۳۷۵٬۰۰۰٬۰۰۰ تومان,true,true,true,۵ از ۵
۶۲,jamalzadeh,۱۳۹۸,۲,۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۳ از ۴
۹۰,north-sohrevardi,۱۳۹۷,۲,۱۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۲ از ۵
۸۰,sattarkhan,۱۳۸۲,۲,۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,false,false,true,همکف
۹۰,north-sohrevardi,۱۳۹۷,۲,۱۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۲ از ۵
۱۱۸,azad-shahr,۱۴۰۳,۲,۷٬۶۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۹
۱۲۳,chitgar-lake,۱۴۰۲,۳,۶٬۴۸۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۴ از ۸
۱۲۵,vanak,۱۳۸۷,۳,۱۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۴
۹۰,north-sohrevardi,۱۳۹۷,۲,۱۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۲ از ۵
۷۵,bagh-feyz,۱۳۹۶,۲,۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۶ از ۷
۱۲۵,vanak,۱۳۸۷,۳,۱۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۴
۱۱۸,azad-shahr,۱۴۰۳,۲,۷٬۶۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۹
۱۱۸,azad-shahr,۱۴۰۳,۲,۷٬۶۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۹
۴۸,sarsabil,۱۳۷۹,۱,۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,false,false,false,۲ از ۳
۱۲۵,vanak,۱۳۸۷,۳,۱۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۴
۲۷۵,qalamestan,۱۳۷۲,۲,۱۱۱٬۲۲۲٬۳۳۳٬۴۴۴ تومان,false,true,true,۳ از ۳
۱۱۸,azad-shahr,۱۴۰۳,۲,۷٬۶۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۹
۶۲,jamalzadeh,۱۳۹۸,۲,۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۳ از ۴
۱۱۳,shams-abad,۱۴۰۳,۲,۱۸٬۱۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۵ از ۵
۷۵,bagh-feyz,۱۳۹۶,۲,۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۶ از ۷
۱۲۵,firoozabadi,۱۴۰۳,۲,۸٬۸۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۱
۱۱۳,azad-shahr,۱۴۰۲,۲,۷٬۳۰۰٬۰۰۰٬۰۰۰ تومان,true,true,true,۱۵ از ۲۵
